source_bom,target_bom
BOM-FB_60103-003,
BOM-FB_70103-003,
BOM-Trial FB_EH0039-011,
BOM-T5013-002,
BOM-t.T4012-001,
BOM-P5061-001,
BOM-P6090 H-001,
BOM-P5044-001,
BOM-P5045-001,
BOM-t.P4012-001,
BOM-P7003-001,
BOM-Trial MB_EH0039-011,
BOM-Trial B_40EP01-001,
BOM-Trial FB_40EP01-001,
BOM-Trial B_70EC01-001,
BOM-Trial FB_70EC01-001,
BOM-FB_7022-003,
BOM-P5115-001,
BOM-P5039-001,
BOM-P5086-001,
BOM-P5083-001,
BOM-P5050-001,
BOM-T5085-006,
BOM-T5127-002,
BOM-T5115-008,
BOM-T7046-010,
BOM-T7040-004,
BOM-T5102-005,
BOM-T3401-005,
BOM-T5050-003,
BOM-T5044-007,
BOM-T6075-005,
BOM-T5121-005,
BOM-T5039-004,
BOM-T5042-004,
BOM-T7006-007,
BOM-T5045-005,
BOM-Trial C_EH0039-011,
BOM-t.P5121-001,
BOM-P5121-001,
BOM-C_7022-003,
BOM-P6070-001,
BOM-P6095 H-001,
BOM-P5042-001,
BOM-P6100-001,
BOM-P1605-002,
BOM-P5013-001,
BOM-P3401-003,
BOM-T5071-006,
BOM-T5107-002,
BOM-T1606-002,
BOM-T5125-004,
BOM-P7056-001,
BOM-P9141-001,
BOM-C_60103-003,
BOM-C_70103-003,
BOM-T7034-006,
BOM-T5116-002,
BOM-T2439-003,
BOM-T7003-008,
BOM-Trial MB_70EP07-004,
BOM-P7040-002,
BOM-t.F4012-001,
BOM-C_6023-003,
BOM-C_9023-003,
BOM-P5052-001,
BOM-T5129-006,
BOM-T1604-004,
BOM-F2438-002,
BOM-P5127-001,
BOM-P6075-001,
BOM-P1606-001,
BOM-P5129-003,
BOM-C_6122-001,
BOM-T5001-007,
BOM-P5024-001,
BOM-P7046-001,
BOM-MB_7022-003,
BOM-MB_70103-003,
BOM-T5117-003,
BOM-P7006-001,
BOM-P1604-001,
BOM-T5046-003,
BOM-MB_60103-003,
BOM-P5102-001,
BOM-P5085-001,
BOM-P5125-001,
BOM-P7034-001,
BOM-T7047-009,
BOM-T5029-002,
BOM-T5002-006,
BOM-MB_69221-003,
BOM-Trial MB_75H01-003,
BOM-Trial B_65EP02-004,
BOM-Trial FB_65EP02-004,
BOM-F7003-005,
BOM-Trial C_75H01-003,
BOM-Trial MB_40EP01-001,
BOM-Trial C_40EP01-001,
BOM-P5107-001,
BOM-T6080-005,
BOM-T1101-004,
BOM-C_8023-001,
BOM-Trial MB_70EC01-002,
BOM-Trial C_70EC01-002,
BOM-C_69221-003,
BOM-P5071-001,
BOM-P5001-001,
BOM-T5061-009,
BOM-P5046-001,
BOM-T5113-002,
BOM-P7047-001,
BOM-P2439-001,
BOM-T5060-008,
BOM-P5116-001,
BOM-P5103-001,
BOM-P6080-001,
BOM-P1101-001,
BOM-T4007-005,
BOM-C_6025-003,
BOM-Trial B_40EP01-002,
BOM-Trial FB_40EP01-002,
BOM-Trial B_60EP04-004,
BOM-Trial FB_60EP04-004,
BOM-Trial B_60EP04-003,
BOM-Trial FB_60EP04-003,
BOM-P5113-001,
BOM-T5133-002,
BOM-T5130-001,
BOM-P4007-002,
BOM-Trial B_4910-003,
BOM-P5002-001,
BOM-MB_6122-001,
BOM-Trial MB_4910-003,
BOM-Trial MB_6025-003,
BOM-Trial MB_DH0128-008,
BOM-Trial C_6025-003,
BOM-TRIAL C_DH0128-008,
BOM-Trial MB_40EP01-002,
BOM-Trial C_40EP01-002,
BOM-Trial MB_65EP02-004,
BOM-Trial C_65EP02-004,
BOM-B_60103-003,
BOM-T5027-002,
BOM-P5133-002,
BOM-Trial FB_4910-003,
BOM-P5117-001,
BOM-Trial FB_4910-004,
BOM-Trial C_4910-003,
BOM-T1152-004,
BOM-T9027-003,
BOM-T1168-003,
BOM-P5060-001,
BOM-Trial MB_60EP04-003,
BOM-Trial C_60EP04-003,
BOM-P1152-001,
BOM-Trial C_90H02-002,
BOM-T1169-003,
BOM-MB_70104-003,
BOM-MB_8023-001,
BOM-TRIAL MB_70EP02-001,
BOM-P9027-001,
BOM-P5029-001,
BOM-T5003-009,
BOM-T2438-004,
BOM-B_6122-002,
BOM-C_70104-003,
BOM-Trial C_70EP02-001,
BOM-C_50EP02-001,
BOM-P1168-001,
BOM-P1169-001,
BOM-Trial B_EH0039-011,
BOM-MB_9023-003,
BOM-t.T4022-001,
BOM-T5118-004,
BOM-TDS001-004,
BOM-TDS002-003,
BOM-P5027-001,
BOM-C_60F01-001,
BOM-C_7580-003,
BOM-Trial C_7040-005,
BOM-Trial C_6540-008,
BOM-P5003-001,
BOM-PDS001-001,
BOM-PDS002-001,
BOM-T1136-005,
BOM-T5024-004,
BOM-P5118-001,
BOM-P2438-001,
BOM-T5120-011,
BOM-T9149-005,
BOM-T1603-003,
BOM-T5036-004,
BOM-C_6060-003,
BOM-t.T4007-001,
BOM-t.P4007-001,
BOM-P8602-001,
BOM-P1602-002,
BOM-P9149-001,
BOM-P5036-001,
BOM-Trial MB_70EC01-003,
