old_item_code,new_item_code
SAVSOL GEAR OIL 320 EP,SAVSOL GEAR OIL 320 EP
SCALE & CORROSSION INHIBITOR-OCH-CTC-401,SCALE & CORROSSION INHIBITOR-OCH-CTC-401
SCALE &CORROSSION-CHILLER,SCALE &CORROSSION-CHILLER
SCOTCH BRITE ( Multi Purpose Hand Pad 6x9),SCOTCH BRITE ( Multi Purpose Hand Pad 6x9)
SCRAP0123,SCRAP0123
SFL -RCA TAG 125mm * 97mm (BLUE),SFL -RCA TAG 125mm * 97mm (BLUE)
SH-FP-12,SH-FP-12
Silicon Vacuum beading,Silicon Vacuum beading
Splash Glass 3M,Splash Glass 3M
SS ROD,SS ROD
SS SHEET,SS SHEET
STICKER 95mm X 95mm ( BLANK ),STICKER 95mm X 95mm ( BLANK )
STRIPPING BAG ( 300X350X400 - MILITARY GREEN ),STRIPPING BAG ( 300X350X400 - MILITARY GREEN )
STRIPPING BAG ( 350X350X450 - MILITARY GREEN ),STRIPPING BAG ( 350X350X450 - MILITARY GREEN )
t.F4007,t.F4007
t.F4012,t.F4012
t.F4022,t.F4022
t.F5060,t.F5060
t.P2438,t.P2438
t.P4007,t.P4007
t.P4012,t.P4012
t.P4022,t.P4022
t.P4023,t.P4023
t.P5060,t.P5060
t.P5078,t.P5078
t.P5116,t.P5116
t.P5121,t.P5121
t.P5206,t.P5206
t.P5209,t.P5209
t.P5210,t.P5210
t.P5215,t.P5215
t.P5218,t.P5218
t.P8605,t.P8605
t.P8606,t.P8606
t.P8607,t.P8607
t.P9165,t.P9165
t.P9166,t.P9166
t.PBH003,t.PBH003
t.PBH004,t.PBH004
t.PBH005,t.PBH005
t.PBH006,t.PBH006
t.PDS001,t.PDS001
t.PDS002,t.PDS002
t.T2438,t.T2438
t.T4007,t.T4007
t.T4012,t.T4012
t.T4022,t.T4022
t.T4023,t.T4023
t.T5060,t.T5060
t.T5078,t.T5078
t.T5116,t.T5116
t.T5121,t.T5121
t.T8605,t.T8605
t.T8606,t.T8606
t.T8607,t.T8607
t.T9165,t.T9165
t.T9166,t.T9166
t.TBH003,t.TBH003
t.TBH004,t.TBH004
t.TDS001,t.TDS001
t.TDS002,t.TDS002
T1,T1
T1101,T1101
T1113,T1113
T1126,T1126
T1135,T1135
T1136,T1136
T1137,T1137
T1139,T1139
T1152,T1152
T1158,T1158
T1165,T1165
T1166,T1166
T1168,T1168
T1169,T1169
T1601,T1601
T1602,T1602
T1603,T1603
T1604,T1604
T1605,T1605
T1606,T1606
T1608,T1608
T2,T2
T204,T204
T2419,T2419
T2437,T2437
T2438,T2438
T2439,T2439
T2801,T2801
T3,T3
T3401,T3401
T3402,T3402
T4,T4
T4004,T4004
T4005,T4005
T4006,T4006
T4007,T4007
T4011,T4011
T4012 TI,T4012 TI
T4015,T4015
T5,T5
T5001,T5001
T5002,T5002
T5003,T5003
T5013,T5013
T5019,T5019
T5024,T5024
T5027,T5027
T5029,T5029
T5035,T5035
T5036,T5036
T5039,T5039
T5040,T5040
T5041,T5041
T5042,T5042
T5043,T5043
T5044,T5044
T5045,T5045
T5046,T5046
T5047,T5047
T5049,T5049
T5050,T5050
T5051,T5051
T5052,T5052
T5053,T5053
T5059,T5059
T5060,T5060
T5061,T5061
T5067,T5067
T5068,T5068
T5071,T5071
T5072,T5072
T5073,T5073
T5079,T5079
T5080,T5080
T5081,T5081
T5082,T5082
T5083,T5083
T5085,T5085
T5086,T5086
T5089,T5089
T5097,T5097
T5098,T5098
T5102,T5102
T5103,T5103
T5107,T5107
T5109,T5109
T5112,T5112
T5113,T5113
T5114,T5114
T5115,T5115
T5116,T5116
T5117,T5117
T5118,T5118
T5120,T5120
T5121,T5121
T5122,T5122
T5124,T5124
T5125,T5125
T5127,T5127
T5129,T5129
T5130,T5130
T5131A,T5131A
T5132,T5132
T5133,T5133
T5401,T5401
T6,T6
T6070,T6070
T6075,T6075
T6080,T6080
T6090 H,T6090 H
T6090 V,T6090 V
T6095 H,T6095 H
T6095 V,T6095 V
T6100,T6100
T7003,T7003
T7006,T7006
T7010,T7010
T7034,T7034
T7035,T7035
T7040,T7040
T7046,T7046
T7047,T7047
T7049,T7049
T7056,T7056
T7058,T7058
T7059,T7059
T8601,T8601
T8602,T8602
T8603,T8603
T9027,T9027
T9028,T9028
T9054,T9054
T9100,T9100
T9127,T9127
T9141,T9141
T9143,T9143
T9144,T9144
T9149,T9149
T9150,T9150
T9151,T9151
T9164,T9164
T9167,T9167
T9168,T9168
T9169,T9169
T9170,T9170
T9171,T9171
TBH001,TBH001
TBH002,TBH002
TDS001,TDS001
TDS002,TDS002
Thermal Sticker Roll – 56X110mm ( Accessory for Essae Teraoka Electronic Weighing Scale),Thermal Sticker Roll – 56X110mm ( Accessory for Essae Teraoka Electronic Weighing Scale)
Trial B_40EP01,Trial B_40EP01
Trial B_4910,Trial B_4910
Trial B_50C02,Trial B_50C02
Trial B_50EP02,Trial B_50EP02
Trial B_50N02,Trial B_50N02
Trial B_55EP01,Trial B_55EP01
Trial B_60103,Trial B_60103
Trial B_6025,Trial B_6025
Trial B_60AC01,Trial B_60AC01
Trial B_60AC02,Trial B_60AC02
Trial B_60C01,Trial B_60C01
Trial B_60EP04,Trial B_60EP04
Trial B_60H02,Trial B_60H02
Trial B_60H03,Trial B_60H03
Trial B_60N01,Trial B_60N01
Trial B_6210,Trial B_6210
Trial B_65EP02,Trial B_65EP02
Trial B_69221,Trial B_69221
Trial B_70103,Trial B_70103
Trial B_70104,Trial B_70104
Trial B_7022,Trial B_7022
Trial B_70256,Trial B_70256
TRIAL B_70AC02,TRIAL B_70AC02
TRIAL B_70AC03,TRIAL B_70AC03
Trial B_70EC01,Trial B_70EC01
TRIAL B_70EP02,TRIAL B_70EP02
Trial B_70EP07,Trial B_70EP07
Trial B_70H03,Trial B_70H03
Trial B_75H01,Trial B_75H01
Trial B_75H03,Trial B_75H03
Trial B_80EP02,Trial B_80EP02
Trial B_85H01,Trial B_85H01
Trial B_9023,Trial B_9023
Trial B_90H02,Trial B_90H02
Trial B_BG0083,Trial B_BG0083
Trial B_BG0098,Trial B_BG0098
Trial B_BG0100,Trial B_BG0100
TRIAL B_DH0128,TRIAL B_DH0128
Trial B_EH0039,Trial B_EH0039
Trial B_EP7003,Trial B_EP7003
Trial C_40EP01,Trial C_40EP01
Trial C_4910,Trial C_4910
Trial C_50C02,Trial C_50C02
Trial C_50EP02,Trial C_50EP02
Trial C_50N02,Trial C_50N02
TRIAL C_50V03,TRIAL C_50V03
Trial C_55EP01,Trial C_55EP01
Trial C_60103,Trial C_60103
Trial C_6025,Trial C_6025
Trial C_6040,Trial C_6040
Trial C_60AC01,Trial C_60AC01
Trial C_60AC02,Trial C_60AC02
Trial C_60C01,Trial C_60C01
Trial C_60EP04,Trial C_60EP04
Trial C_60F03,Trial C_60F03
Trial C_60H02,Trial C_60H02
Trial C_60H03,Trial C_60H03
Trial C_6210,Trial C_6210
Trial C_6540,Trial C_6540
Trial C_65EP02,Trial C_65EP02
TRIAL C_65V02,TRIAL C_65V02
Trial C_69221,Trial C_69221
Trial C_70103,Trial C_70103
Trial C_70104,Trial C_70104
Trial C_7022,Trial C_7022
Trial C_70256,Trial C_70256
Trial C_7040,Trial C_7040
TRIAL C_70AC03,TRIAL C_70AC03
Trial C_70EC01,Trial C_70EC01
Trial C_70EP02,Trial C_70EP02
Trial C_70EP07,Trial C_70EP07
Trial C_70H03,Trial C_70H03
Trial C_70V02,Trial C_70V02
Trial C_75H01,Trial C_75H01
Trial C_75H03,Trial C_75H03
Trial C_80V03,Trial C_80V03
Trial C_85H01,Trial C_85H01
Trial C_9023,Trial C_9023
Trial C_90H02,Trial C_90H02
Trial C_BG0098,Trial C_BG0098
Trial C_BG0100,Trial C_BG0100
TRIAL C_DH0128,TRIAL C_DH0128
Trial C_EH0039,Trial C_EH0039
Trial C_EP7003,Trial C_EP7003
Trial FB_40EP01,Trial FB_40EP01
Trial FB_4910,Trial FB_4910
Trial FB_50C02,Trial FB_50C02
Trial FB_50EP02,Trial FB_50EP02
Trial FB_50N02,Trial FB_50N02
TRIAL FB_50V03,TRIAL FB_50V03
Trial FB_55EP01,Trial FB_55EP01
Trial FB_60103,Trial FB_60103
Trial FB_6025,Trial FB_6025
Trial FB_6040,Trial FB_6040
Trial FB_60AC01,Trial FB_60AC01
Trial FB_60AC02,Trial FB_60AC02
Trial FB_60C01,Trial FB_60C01
Trial FB_60EP04,Trial FB_60EP04
Trial FB_60F03,Trial FB_60F03
Trial FB_60H02,Trial FB_60H02
Trial FB_60H03,Trial FB_60H03
Trial FB_60N01,Trial FB_60N01
Trial FB_6210,Trial FB_6210
Trial FB_6540,Trial FB_6540
Trial FB_65EP02,Trial FB_65EP02
TRIAL FB_65V02,TRIAL FB_65V02
Trial FB_69221,Trial FB_69221
Trial FB_70103,Trial FB_70103
Trial FB_70104,Trial FB_70104
Trial FB_7022,Trial FB_7022
Trial FB_70256,Trial FB_70256
Trial FB_7040,Trial FB_7040
TRIAL FB_70AC02,TRIAL FB_70AC02
TRIAL FB_70AC03,TRIAL FB_70AC03
Trial FB_70EC01,Trial FB_70EC01
TRIAL FB_70EP02,TRIAL FB_70EP02
Trial FB_70EP07,Trial FB_70EP07
Trial FB_70H03,Trial FB_70H03
Trial FB_70V02,Trial FB_70V02
Trial FB_75H01,Trial FB_75H01
Trial FB_75H03,Trial FB_75H03
Trial FB_80EP02,Trial FB_80EP02
Trial FB_80V03,Trial FB_80V03
Trial FB_85H01,Trial FB_85H01
Trial FB_9023,Trial FB_9023
Trial FB_90H02,Trial FB_90H02
Trial FB_BG0083,Trial FB_BG0083
Trial FB_BG0098,Trial FB_BG0098
Trial FB_BG0100,Trial FB_BG0100
TRIAL FB_DH0128,TRIAL FB_DH0128
Trial FB_EH0039,Trial FB_EH0039
Trial FB_EP7003,Trial FB_EP7003
Trial MB_40EP01,Trial MB_40EP01
Trial MB_4910,Trial MB_4910
Trial MB_50C02,Trial MB_50C02
Trial MB_50EP02,Trial MB_50EP02
Trial MB_50N02,Trial MB_50N02
Trial MB_55EP01,Trial MB_55EP01
Trial MB_60103,Trial MB_60103
Trial MB_6025,Trial MB_6025
Trial MB_60AC01,Trial MB_60AC01
Trial MB_60AC02,Trial MB_60AC02
Trial MB_60C01,Trial MB_60C01
Trial MB_60EP04,Trial MB_60EP04
Trial MB_60H02,Trial MB_60H02
Trial MB_60H03,Trial MB_60H03
Trial MB_60N01,Trial MB_60N01
Trial MB_6210,Trial MB_6210
Trial MB_65EP02,Trial MB_65EP02
Trial MB_69221,Trial MB_69221
Trial MB_70103,Trial MB_70103
Trial MB_70104,Trial MB_70104
Trial MB_7022,Trial MB_7022
Trial MB_70256,Trial MB_70256
TRIAL MB_70AC03,TRIAL MB_70AC03
Trial MB_70EC01,Trial MB_70EC01
TRIAL MB_70EP02,TRIAL MB_70EP02
Trial MB_70EP07,Trial MB_70EP07
Trial MB_70H03,Trial MB_70H03
Trial MB_75H01,Trial MB_75H01
Trial MB_75H03,Trial MB_75H03
Trial MB_80EP02,Trial MB_80EP02
Trial MB_85H01,Trial MB_85H01
Trial MB_9023,Trial MB_9023
Trial MB_90H02,Trial MB_90H02
Trial MB_BG0083,Trial MB_BG0083
Trial MB_BG0098,Trial MB_BG0098
Trial MB_BG0100,Trial MB_BG0100
Trial MB_DH0128,Trial MB_DH0128
Trial MB_EH0039,Trial MB_EH0039
Trial MB_EP7003,Trial MB_EP7003
Trial P7006,Trial P7006
Trial P7056,Trial P7056
TROLLEY WHEEL,TROLLEY WHEEL
TROLLEY WHEEL  ( 6x2 ),TROLLEY WHEEL  ( 6x2 )
WHITE BANIAN GLOVES,WHITE BANIAN GLOVES
WHITE COTTON GLOVES,WHITE COTTON GLOVES
WHITE WASTE,WHITE WASTE
WK-977-05,WK-977-05
WK938M1-08,WK938M1-08
Yellow Card,Yellow Card
Trial FB_6028,FB_6028
Trial B_90N02,B_90N02
Trial C_7025,C_7025
Trial C_6028,C_6028
Trial B_70EP06,B_70EP06
Trial FB_90N02,FB_90N02
Trial B_6028,B_6028
Trial MB_90N02,MB_90N02
Trial FB_70EP06,FB_70EP06
TRIAL B_60H01,B_60H01
Trial FB_50EP01,FB_50EP01
Trial FB_7025,FB_7025
TRIAL C_60H01,C_60H01
Trial MB_7025,MB_7025
TRIAL MB_60H01,MB_60H01
Trial MB_70EP06,MB_70EP06
Trial C_70EP06,C_70EP06
Trial MB_50EP01,MB_50EP01
Trial MB_6028,MB_6028
Trial C_90N02,C_90N02
Trial C_BG0083,C_BG0083
Trial B_50EP01,B_50EP01
Trial C_50EP01,C_50EP01
TRIAL FB_60H01,FB_60H01
Trial B_7025,B_7025
t.F3402,F3402
t.F8606,F8606
t.T5044,T5044
t.F5044,F5044
t.T4024,T4024
t.P4025,P4025
t.T3402,T3402
t.T1177,T1177
t.P3402,P3402
t.F4025,F4025
t.T4025,T4025
t.P5044,P5044
FB_7040,FB_7040
F7058,F7058
FB_BG0083v2,FB_BG0083v2
T8606,T8606
P4020,P4020
MB_BG0083v2,MB_BG0083v2
T7057,T7057
F5401,F5401
B_70EP07,B_70EP07
B_40EP01,B_40EP01
MB_70EP07,MB_70EP07
F4010,F4010
FB_70V02,FB_70V02
F6090 H,F6090 H
B_6510,B_6510
B_75H01,B_75H01
B_6210,B_6210
F5132,F5132
T7039,T7039
C_40EP01,C_40EP01
F4011,F4011
F8603,F8603
T4020,T4020
T5214,T5214
C_75H01,C_75H01
F9164,F9164
F5109,F5109
F8605,F8605
MB_40EP01,MB_40EP01
FB_75H01,FB_75H01
MB_75H01,MB_75H01
F8402,F8402
MB_6210,MB_6210
T8605,T8605
T8402,T8402
P5214,P5214
F2437,F2437
B_70256,B_70256
T4010,T4010
F7059,F7059
T5111,T5111
C_70V02,C_70V02
FB_40EP01,FB_40EP01
T5055,T5055
FB_6210,FB_6210
dev.T612,T612
MSPA 2437,MSPA_2437
FB_2222 CLEANING COMPOUND,CLEANING_COMPOUND
t.T5402,T5402
t.T9173,T9173
t.T1176,T1176
t.P4024,P4024
t.P9173,P9173
t.P5402,P5402
t.P1176,P1176
t.P1177,P1177
MC 591,M591
MC 596,M596
MC 590,M590
Instruments,Instruments
POLYTHENE BAGS,POLYTHENE BAGS 16X18 LD
MC 598,M598
MC 592,M592
MC 595,M595
MC 594,M594
