old_item_code,new_item_code
F6090 V,F6090 V
F6095 H,F6095 H
F6095 V,F6095 V
F6100,F6100
F7003,F7003
F7006,F7006
F7010,F7010
F7017,F7017
F7034,F7034
F7035,F7035
F7036,F7036
F7046,F7046
F7047,F7047
F7049,F7049
F7056,F7056
F7065,F7065
F8601,F8601
F8602,F8602
F9027,F9027
F9028,F9028
F9054,F9054
F9100,F9100
F9127,F9127
F9141,F9141
F9143,F9143
F9144,F9144
F9149,F9149
F9150,F9150
F9151,F9151
Face Mask Blue,Face Mask Blue
FB_4910,FB_4910
FB_5022,FB_5022
FB_50EP02,FB_50EP02
FB_50V02,FB_50V02
FB_60103,FB_60103
FB_6023,FB_6023
FB_6024,FB_6024
FB_6025,FB_6025
FB_6028,FB_6028
FB_6060,FB_6060
FB_60F01,FB_60F01
FB_6122,FB_6122
FB_6510,FB_6510
FB_65101,FB_65101
FB_6523,FB_6523
FB_69221,FB_69221
FB_70103,FB_70103
FB_70104,FB_70104
FB_7022,FB_7022
FB_7023,FB_7023
FB_7024,FB_7024
FB_7025,FB_7025
FB_70253,FB_70253
FB_7026,FB_7026
FB_7040 CLEANING,FB_7040 CLEANING
FB_70EP02,FB_70EP02
FB_70EP07,FB_70EP07
FB_7580,FB_7580
FB_75H02,FB_75H02
FB_8010,FB_8010
FB_8023,FB_8023
FB_8025,FB_8025
FB_80255,FB_80255
FB_80V01,FB_80V01
FB_85H01,FB_85H01
FB_9023,FB_9023
FB_90H02,FB_90H02
FB_90NVC01,FB_90NVC01
FB_BA0127,FB_BA0127
FB_DH0128,FB_DH0128
FB_EH0039,FB_EH0039
FB_EP7003,FB_EP7003
FBH001,FBH001
FDS001,FDS001
FDS002,FDS002
Final Batch Identification Tag,Final Batch Identification Tag
Final Inspection Route Card 105mm X 100mm Green Colour,Final Inspection Route Card 105mm X 100mm Green Colour
FOTEK PS-O5N,FOTEK PS-O5N
FP-85-07,FP-85-07
FP-85-17,FP-85-17
FP-86-05,FP-86-05
FP-86-07,FP-86-07
FP-86-12,FP-86-12
FP-86-23,FP-86-23
FP-89-05,FP-89-05
FP-89M-22,FP-89M-22
Gate Pass  Book (3 Colour copies),Gate Pass  Book (3 Colour copies)
GREEN CHANNEL PART TAG 130MM * 100MM (GREEN),GREEN CHANNEL PART TAG 130MM * 100MM (GREEN)
HB-35,HB-35
HEAT TRANSFER OIL S2,HEAT TRANSFER OIL S2
Heater For Rheometer,Heater For Rheometer
HMHD BAGS ( 12X16 HMT ),HMHD BAGS ( 12X16 HMT )
Inprocess Inspection Report F&B 1/4 Each 100 sheets,Inprocess Inspection Report F&B 1/4 Each 100 sheets
Layer Pad 161/2 x 131/4 - 3 Py,Layer Pad 161/2 x 131/4 - 3 Py
LID - 300x200,LID - 300x200
LID - 400X300,LID - 400X300
LID - 500X325,LID - 500X325
LID - 600X400,LID - 600X400
Line Rejection Analaysis Report 1X4 SIZE,Line Rejection Analaysis Report 1X4 SIZE
Lot Inspection Record,Lot Inspection Record
RM 01,M01
M010,M010
M014,M014
RM 02,M02
MF 022,M022
M023,M023
M024,M024
M027,M027
M040,M040
M041,M041
M042,M042
M045,M045
M049,M049
M051,M051
M054,M054
M058,M058
M060,M060
M069,M069
M072,M072
M073,M073
M075,M075
M082,M082
M084,M084
M089,M089
RM 1,M1
M100,M100
MR 102,M102
MR 105,M105
MR 106,M106
MR 107,M107
MR 108,M108
MR 109,M109
MR 110,M110
MR 111,M111
M113,M113
M114,M114
MR 118,M118
MC 12,M12
M120,M120
MR 121,M121
M124,M124
M129,M129
MC 13,M13
MR 131,M131
M132,M132
M134,M134
MR 141,M141
MR 142,M142
MR 145,M145
MR 147,M147
MC 15,M15
MR 151,M151
M155,M155
MR 156,M156
MR 159,M159
MC 16,M16
MR 161,M161
MR 162,M162
MR 163,M163
MR 167,M167
MR 171,M171
M172,M172
MR 173,M173
MR 174,M174
M176,M176
M178,M178
M179,M179
M181,M181
M182,M182
MR 183,M183
MR 185,M185
MR 186,M186
MR 188,M188
MR 191,M191
MR 193,M193
M194,M194
M195,M195
MR 196,M196
MR 197,M197
M198,M198
MR 199,M199
RM 2,M2
MF 200,M200
MF 201,M201
MF 202,M202
MF 203,M203
M204,M204
MF 205,M205
MF 209,M209
MF 21,M21
MF 211,M211
MF 213,M213
MF 214,M214
MF 215,M215
MF 216,M216
MF 217,M217
MF 218,M218
MF 219,M219
MF 220,M220
MF 221,M221
MF 222,M222
MF 223,M223
MF 224,M224
MF 225,M225
MF 226,M226
MF 28,M28
MC 29,M29
RM 3,M3
MC 300,M300
MC 309,M309
MC 312,M312
MC 313,M313
MF 314,M314
MC 320,M320
MC 322,M322
M323,M323
M324,M324
MF 325,M325
M326,M326
MP 327,M327
M328,M328
M329,M329
M330,M330
MC 331,M331
M332,M332
MF 333,M333
M335,M335
MC 337,M337
M338,M338
M339,M339
M340,M340
M341,M341
MF 342,M342
MC 343,M343
MC 344,M344
M345,M345
M347,M347
MC 348,M348
MC 349,M349
MC 35,M35
M350,M350
M352,M352
MF 354,M354
M355,M355
M358,M358
MC 359,M359
MR 360,M360
MC 361,M361
MP 362,M362
MF 364,M364
MC 365,M365
MC 367,M367
MP 368,M368
MF 370,M370
MC 372,M372
MP 373,M373
MC 375,M375
M376,M376
MC 379,M379
MF 381,M381
MF 382,M382
M383,M383
MF 384,M384
MF 385,M385
M387,M387
M388,M388
M389,M389
MC 39,M39
MC 390,M390
MR 395,M395
M396,M396
MC 398,M398
M398,M398
RM 4,M4
M400,M400
MC 405,M405
MP 407,M407
MC 409,M409
M412,M412
MF 413,M413
MC 419,M419
MC 420,M420
M423,M423
M424,M424
M425,M425
M426,M426
M427,M427
M428,M428
MC 430,M430
M431,M431
M434,M434
M435,M435
M436,M436
M437,M437
MC 438,M438
M439,M439
M440,M440
M441,M441
M442,M442
MF 443,M443
MF 444,M444
MP 445,M445
MF 446,M446
MF 447,M447
M448,M448
MF 449,M449
MC 449,M449
MR 450,M450
MP 451,M451
M452,M452
MP 453,M453
MC 454,M454
MF 455,M455
MP 456,M456
MF 458,M458
MC 462,M462
MP 463,M463
MF 464,M464
MF 466,M466
MF 467,M467
MP 47,M47
MC 471,M471
MF 472,M472
MF 473,M473
MF 476,M476
MF 477,M477
MF 478,M478
MC 480,M480
MF 480,M480
MC 481,M481
MP 481,M481
MF 483,M483
MF 484,M484
MF 485,M485
MF 486,M486
MC 487,M487
MF 488,M488
MC 489,M489
MF 491,M491
MC 494,M494
MC 495,M495
MC 496,M496
MP 497,M497
MF 498,M498
MF 499,M499
MC 50,M50
MF 500,M500
MF 501,M501
MF 502,M502
MC 503,M503
MP 504,M504
MF 505,M505
MF 506,M506
MF 507,M507
MF 508,M508
MC 509,M509
MF 510,M510
MP 511,M511
M512,M512
MF 513,M513
MF 514,M514
MP 515,M515
MF 519,M519
MC 52,M52
MF 522,M522
MF 524,M524
MC 525,M525
MF 527,M527
MF 528,M528
MP 529,M529
MF 530,M530
MF 531,M531
MP 532,M532
MF 533,M533
MF 534,M534
MF 535,M535
MF 536,M536
MF 537,M537
MF 539,M539
MF 540,M540
MF 541,M541
MF 542,M542
MF 543,M543
MF 544,M544
MF 545,M545
MP 546,M546
MF 547,M547
MC 550,M550
M551,M551
MC 554,M554
MC 555,M555
MC 557,M557
MC 559,M559
MC 560,M560
MC 563,M563
MC 564,M564
MC 565,M565
MC 567,M567
MC 569,M569
MC 57,M57
MC 570,M570
MP 572,M572
MC 573,M573
MC 574,M574
MC 575,M575
MF 576,M576
MC 577,M577
MC 578,M578
MC 579,M579
MC 580,M580
MC 581,M581
MC 582,M582
MC 583,M583
MC 585,M585
MC 586,M586
MC 588,M588
MC 59,M59
MF 61,M61
MC 63,M63
MC 64,M64
MC 65,M65
MF 67,M67
MC 70,M70
MP 71,M71
MP 72,M72
MC 77,M77
MC 79,M79
MF 86,M86
MR 86,M86
M864-04,M864-04
MF 87,M87
MF 88,M88
MR 900,M900
M9000,M9000
M9001,M9001
MR 901,M901
MR 902,M902
MR 903,M903
MR 904,M904
MR 905,M905
MR 906,M906
MR 907,M907
MR 908,M908
MR 909,M909
MR 910,M910
MR 911,M911
MR 912,M912
MR 913,M913
MR 916,M916
MR 917,M917
MR 918,M918
M918,M918
MR 919,M919
MR 920,M920
MR 921,M921
MR 922,M922
MR 923,M923
MR 924,M924
MR 925,M925
MR 926,M926
MR 927,M927
MR 928,M928
MR 929,M929
MR 930,M930
MR 931,M931
MR 932,M932
MR 933,M933
MR 934,M934
MR 935,M935
MR 936,M936
MR 937,M937
MR 938,M938
MR 939,M939
MR 940,M940
MR 941,M941
MR 942,M942
MR 943,M943
MR 944,M944
MR 945,M945
MR 946,M946
MR 947,M947
MR 948,M948
MC 95,M95
MR 950,M950
MR 951,M951
MR 952,M952
MR 953,M953
MR 954,M954
MR 955,M955
MR 956,M956
MR 957,M957
MR 958,M958
MR 959,M959
MR 960,M960
MR 961,M961
MR 962,M962
MR 963,M963
MR 964,M964
MR 965,M965
MR 966,M966
MR 968,M968
MR 969,M969
MC 97,M97
MR 970,M970
MR 971,M971
MR 973,M973
MR 974,M974
MR 975,M975
MR 976,M976
MR 977,M977
MR 978,M978
MR 979,M979
MR 980,M980
MR 981,M981
MR 982,M982
MR 983,M983
MR 984,M984
MR 985,M985
MR 986,M986
MR 987,M987
MR 988,M988
MAK Hydrol AW 46,MAK Hydrol AW 46
Master Batch Identification Tag,Master Batch Identification Tag
Material,Material
MB_4910,MB_4910
MB_5022,MB_5022
MB_50EP02,MB_50EP02
MB_60103,MB_60103
MB_6023,MB_6023
MB_6024,MB_6024
MB_6025,MB_6025
MB_6028,MB_6028
MB_6060,MB_6060
MB_6122,MB_6122
MB_6510,MB_6510
MB_65101,MB_65101
MB_6523,MB_6523
MB_69221,MB_69221
MB_70103,MB_70103
MB_70104,MB_70104
MB_7022,MB_7022
MB_7023,MB_7023
MB_7024,MB_7024
MB_7025,MB_7025
MB_70253,MB_70253
MB_7026,MB_7026
MB_70EP02,MB_70EP02
MB_75H02,MB_75H02
MB_8010,MB_8010
MB_8023,MB_8023
MB_8025,MB_8025
MB_80255,MB_80255
MB_85H01,MB_85H01
MB_9023,MB_9023
MB_90H02,MB_90H02
MB_90NVC01,MB_90NVC01
MB_BA0127,MB_BA0127
MB_DH0128,MB_DH0128
MB_EH0039,MB_EH0039
MB_EP7003,MB_EP7003
MC  493,MC  493
MC 301,MC 301
MC 310,MC 310
MC 457,MC 457
MC 465,MC 465
MC 482,MC 482
MC 490,MC 490
MC 492,MC 492
MC 516,MC 516
MC 517,MC 517
MC 538,MC 538
MC 548,MC 548
MC 549,MC 549
MC 552,MC 552
MC 553,MC 553
MC 556,MC 556
MC 566,MC 566
MC 568,MC 568
MC 571,MC 571
MC 584,MC 584
MC 597,M597
MC 600,M600
METAL SHELL IDENTIFICATION CARD 100mm X 90mm (Green),METAL SHELL IDENTIFICATION CARD 100mm X 90mm (Green)
MF476,MF476
MORLINA S1 B 100,MORLINA S1 B 100
MOULD LOADING 1/4 Each 100 sheets,MOULD LOADING 1/4 Each 100 sheets
MOULD UNLOADING 1/4 Each 100 sheets,MOULD UNLOADING 1/4 Each 100 sheets
MR920,MR920
MR950,MR950
MS 4015,MS 4015
MS 7003,MS 7003
MS 7006,MS 7006
MS 7010,MS 7010
MS 8403,MS 8403
MS 8602,MS 8602
MS Materials,MS Materials
MS4015,MS4015
RM5 Test,MTest
RM4 Test,MTest
RM3 Test,MTest
RM2 Test,MTest
RM1 Test,MTest
NB-21017,NB-21017
NB12004,NB12004
NB12005,NB12005
NB12006,NB12006
NB12008,NB12008
NW1050011,NW1050011
NYLON DUCT FOR VIBRATION SIEVE(Φ100),NYLON DUCT FOR VIBRATION SIEVE(Φ100)
Online Inspection Record (2 Press),Online Inspection Record (2 Press)
Online Inspection Record (Single Press),Online Inspection Record (Single Press)
OP-382.09,OP-382.09
OP-693-11,OP-693-11
OP-977-05,OP-977-05
OXIDISING BIOCIDE-OCH-CTC-421,OXIDISING BIOCIDE-OCH-CTC-421
P107,P107
P1101,P1101
P1102,P1102
P1103,P1103
P1104,P1104
P1105,P1105
P1108,P1108
P1109,P1109
P1112,P1112
P1113,P1113
P1126,P1126
P1127,P1127
P1135,P1135
P1136,P1136
P1137,P1137
P1138,P1138
P1139,P1139
P1140,P1140
P1141,P1141
P1142,P1142
P1143,P1143
P1144,P1144
P1145,P1145
P1147,P1147
P1148,P1148
P1149,P1149
P1152,P1152
P1153,P1153
P1156,P1156
P1157,P1157
P1158,P1158
P1161,P1161
P1162,P1162
P1164,P1164
P1165,P1165
P1166,P1166
P1167,P1167
P1168,P1168
P1169,P1169
P1171,P1171
P1172,P1172
P1173,P1173
P1174,P1174
P1175,P1175
P1601,P1601
P1602,P1602
P1603,P1603
P1604,P1604
P1605,P1605
P1606,P1606
P1607,P1607
P1608,P1608
P204,P204
P225,P225
P2401,P2401
P2403,P2403
P2404,P2404
P2406,P2406
P2407,P2407
P2408,P2408
P2409,P2409
P2410,P2410
P2413,P2413
P2415,P2415
P2419,P2419
P2420,P2420
P2421,P2421
P2423,P2423
P2424,P2424
P2426,P2426
P2427,P2427
P2429,P2429
P2430,P2430
P2432,P2432
P2435,P2435
P2436,P2436
P2437,P2437
P2438,P2438
P2439,P2439
P2443,P2443
P2446,P2446
P2447,P2447
P2452,P2452
P2596,P2596
P2801,P2801
P2802,P2802
P3401,P3401
P3402,P3402
P3802,P3802
P4003,P4003
P4004,P4004
P4005,P4005
P4006,P4006
P4007,P4007
P4010,P4010
P4011,P4011
P4012,P4012
P4015,P4015
P4018,P4018
P4019,P4019
P4401,P4401
P4402,P4402
P4403,P4403
P477,P477
P4801,P4801
P5001,P5001
P5002,P5002
P5003,P5003
P5013,P5013
P5016,P5016
P5019,P5019
P5020,P5020
P5023,P5023
P5024,P5024
P5025,P5025
P5027,P5027
P5029,P5029
P5033,P5033
P5034,P5034
P5035,P5035
P5036,P5036
P5039,P5039
P5040,P5040
P5041,P5041
P5042,P5042
P5043,P5043
P5044,P5044
P5045,P5045
P5046,P5046
P5047,P5047
P5048,P5048
P5049,P5049
P5050,P5050
P5051,P5051
P5052,P5052
P5053,P5053
P5055,P5055
P5057,P5057
P5059,P5059
P5060,P5060
P5061,P5061
P5062,P5062
P5065,P5065
P5066,P5066
P5067,P5067
P5068,P5068
P5071,P5071
P5072,P5072
P5073,P5073
P5074,P5074
P5075,P5075
P5077,P5077
P5078,P5078
P5079,P5079
P5080,P5080
P5081,P5081
P5082,P5082
P5083,P5083
P5085,P5085
P5086,P5086
P5089,P5089
P5090,P5090
P5091,P5091
P5092,P5092
