source_account,account_type,root_type,target_account,notes
Freight/ Forwarding/Packing/Transport Charges @ 5% GST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Insurance - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Interest and Bank Charges - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Labour Charges - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Labour charges @ 12% GST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Labour charges Exp - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Material Handing Charges - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Office Expenses - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Office Maintenance - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Office Maintenance Wages - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Packing Materials @ 18% GST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Pooja Expenses - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Postage and Telegram - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Print and Stationary - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Professional Charges - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Purchase Account - GST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Purchase Account - IGST  @ 18% - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Purchase Account - IGST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Purchase Account - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Purchase Account @ 12% GST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Purchase Account @ 5% GST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Purchase Account @18% GST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Purchase Account GST - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Rent - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Repairs and Maintenance - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Repairs and Maintenances - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Security Charges - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Staff Advance - SPP INDIA,Expense Account,Asset,,TODO: Map to target account
Staff Welfare - Lunch - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Staff Welfare - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Staff Welfare - Water - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Staff Welfare General - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Staff Welfare Prov - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Telephone Expenses - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Testing Charges - Lab - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Testing Charges - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Vehicle - Diesel Expenses - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Vehicle Expenses - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Vehicle Maintenance - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
VRE - Petrol Expenses - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
VRE -KR/RG/RK/CG - Petrol Expenses - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Wages - SPP INDIA,Expense Account,Expense,,TODO: Map to target account
Expenses Included In Valuation - SPP INDIA,Expenses Included In Valuation,Expense,,TODO: Map to target account
Buildings - SPP INDIA,Fixed Asset,Asset,,TODO: Map to target account
Capital Equipments - SPP INDIA,Fixed Asset,Asset,,TODO: Map to target account
Computer / Laptop - SPP INDIA,Fixed Asset,Asset,,TODO: Map to target account
Electronic Equipments - SPP INDIA,Fixed Asset,Asset,,TODO: Map to target account
Furnitures and Fixtures - SPP INDIA,Fixed Asset,Asset,,TODO: Map to target account
Mould - SPP INDIA,Fixed Asset,Asset,,TODO: Map to target account
Office Equipments - SPP INDIA,Fixed Asset,Asset,,TODO: Map to target account
Plants and Machineries - SPP INDIA,Fixed Asset,Asset,,TODO: Map to target account
Direct Income - SPP INDIA,Income Account,Income,,TODO: Map to target account
Indirect Income - SPP INDIA,Income Account,Income,,TODO: Map to target account
Sales - SPP INDIA,Income Account,Income,,TODO: Map to target account
Service - SPP INDIA,Income Account,Income,,TODO: Map to target account
Creditors - SPP INDIA,Payable,Liability,Creditors - SPP,Accounts payable
Expenses Payable - SPP INDIA,Payable,Liability,,TODO: Map to target account
R Karthik Expenses Payable - SPP INDIA,Payable,Liability,,TODO: Map to target account
Debtors - SPP INDIA,Receivable,Asset,Debtors - SPP,Accounts receivable
Debtors EUR - SPP INDIA,Receivable,Asset,,TODO: Map to target account
Rounded Off - SPP INDIA,Round Off,Expense,,TODO: Map to target account
Stock Assets - SPP INDIA,Stock,Asset,Stock Assets - SPP,Stock asset account
Stock In Hand - SPP INDIA,Stock,Asset,Stock In Hand - SPP,Stock in hand account  
Stock Adjustment - SPP INDIA,Stock Adjustment,Expense,,TODO: Map to target account
Stock Received But Not Billed - SPP INDIA,Stock Received But Not Billed,Liability,205000.002 - Stock Received But Not Billed - SPP,SRNB account
CGST - SPP INDIA,Tax,Liability,,TODO: Map to target account
Customs Duty Expense - SPP INDIA,Tax,Expense,,TODO: Map to target account
Customs Duty Payable - SPP INDIA,Tax,Liability,,TODO: Map to target account
GST Expense - SPP INDIA,Tax,Expense,,TODO: Map to target account
IGST - SPP INDIA,Tax,Liability,,TODO: Map to target account
IGST 5% - SPP INDIA,Tax,Liability,,TODO: Map to target account
Input Tax CGST - SPP INDIA,Tax,Asset,,TODO: Map to target account
Input Tax CGST RCM - SPP INDIA,Tax,Liability,,TODO: Map to target account
Input Tax IGST - SPP INDIA,Tax,Asset,,TODO: Map to target account
Input Tax IGST RCM - SPP INDIA,Tax,Liability,,TODO: Map to target account
Input Tax SGST - SPP INDIA,Tax,Asset,,TODO: Map to target account
Input Tax SGST RCM - SPP INDIA,Tax,Liability,,TODO: Map to target account
Output Tax CGST - SPP INDIA,Tax,Liability,,TODO: Map to target account
Output Tax CGST RCM - SPP INDIA,Tax,Liability,,TODO: Map to target account
Output Tax IGST - SPP INDIA,Tax,Liability,,TODO: Map to target account
Output Tax IGST RCM - SPP INDIA,Tax,Liability,,TODO: Map to target account
