Old Warehouse,New Warehouse,,,,Item Group
Fchem Bin 38 - SPP INDIA,Fchem Bin 38 - SPP,0,Shree Polymer Products,Chemical Bin - SPP,
Fchem Bin 39 - SPP INDIA,Fchem Bin 39 - SPP,0,Shree Polymer Products,Chemical Bin - SPP,
Fchem Bin 40 - SPP INDIA,Fchem Bin 40 - SPP,0,Shree Polymer Products,Chemical Bin - SPP,
Fchem Bin 41 - SPP INDIA,Fchem Bin 41 - SPP,0,Shree Polymer Products,Chemical Bin - SPP,
Fchem Bin 42 - SPP INDIA,Fchem Bin 42 - SPP,0,Shree Polymer Products,Chemical Bin - SPP,
Fchem Bin 43 - SPP INDIA,Fchem Bin 43 - SPP,0,Shree Polymer Products,Chemical Bin - SPP,
Fchem Bin 44 - SPP INDIA,Fchem Bin 44 - SPP,0,Shree Polymer Products,Chemical Bin - SPP,
Incoming Store - SPP INDIA,Incoming Store - SPP,0,Shree Polymer Products,Raw Materials - SPP,"Carbon,Chemical,Chemicals,MOULD,Other,Plastisizer,Rubber"
Sheeting Warehouse - SPP INDIA,Sheeting - SPP,0,Shree Polymer Products,Factory 1 - SPP,
Sheeting Warehouse - SPP INDIA,PreForming - SPP,0,Shree Polymer Products,Factory 1 - SPP,
,Goods In Transit - SPP,0,Shree Polymer Products,All Warehouses - SPP,
U3-Store - SPP INDIA,Mixing Center - SPP,1,Shree Polymer Products,Factory 1 - SPP,"Batch,Master Batch,Final Batch"
Deflashing Vendors - SPP INDIA,Deflashing Vendors - SPP,1,Shree Polymer Products,Sub Contractor - SPP,
,Phosphating - SPP,1,Shree Polymer Products,Sub Contractor - SPP,
U2-Store - SPP INDIA,Factory 1 - SPP,1,Shree Polymer Products,All Warehouses - SPP,
Raw Materials - SPP INDIA,Raw Materials - SPP,1,Shree Polymer Products,Factory 1 - SPP,
Sub Contractor - SPP INDIA,Sub Contractor - SPP,1,Shree Polymer Products,Factory 1 - SPP,
Chemical Bin - SPP INDIA,Chemical Bin - SPP,1,Shree Polymer Products,Raw Materials - SPP,
U1-Store - SPP INDIA,Factory 2 - SPP,1,Shree Polymer Products,All Warehouses - SPP,
,All Warehouses - SPP,1,Shree Polymer Products,,
U3-Store - SPP INDIA,Compound - SPP,0,Shree Polymer Products,,Compound
U2-Store - SPP INDIA,F1 - Mezzanine - SPP,0,Shree Polymer Products,Factory 1 - SPP,"Products,Finished Products"
U2-Store - SPP INDIA,F1 - Moulded - SPP,0,Shree Polymer Products,Factory 1 - SPP,Mat
Stores - SPP,F1 -  Store - SPP,0,Shree Polymer Products,Factory 1 - SPP
