source_work_order,target_work_order
MFG-WO-2025-11291,
MFG-WO-2025-11313,
MFG-WO-2025-11289,
MFG-WO-2025-11290,
MFG-WO-25-26-00005,
MFG-WO-25-26-00001,
MFG-WO-25-26-00002,
MFG-WO-25-26-00004,
MFG-WO-25-26-00003,
MFG-WO-25-26-00007,
MFG-WO-25-26-00006,
MFG-WO-25-26-00013,
MFG-WO-25-26-00012,
MFG-WO-25-26-00011,
MFG-WO-25-26-00014,
MFG-WO-25-26-00015-1,
MFG-WO-25-26-00017,
MFG-WO-25-26-00016,
MFG-WO-25-26-00018,
MFG-WO-25-26-00008,
MFG-WO-25-26-00009,
MFG-WO-25-26-00019,
MFG-WO-25-26-00020,
MFG-WO-25-26-00022,
MFG-WO-25-26-00023,
MFG-WO-25-26-00024,
MFG-WO-25-26-00010,
MFG-WO-25-26-00021,
MFG-WO-25-26-00026,
MFG-WO-25-26-00029,
MFG-WO-25-26-00031,
MFG-WO-25-26-00033,
MFG-WO-2025-11870,
MFG-WO-2025-11876,
MFG-WO-2025-12118,
MFG-WO-25-26-00027,
MFG-WO-25-26-00034,
MFG-WO-25-26-00030,
MFG-WO-25-26-00039,
MFG-WO-25-26-00028,
MFG-WO-25-26-00032,
MFG-WO-25-26-00037,
MFG-WO-2025-12129,
MFG-WO-25-26-00038-1,
MFG-WO-2025-12330,
MFG-WO-2025-12130,
MFG-WO-25-26-00040,
MFG-WO-25-26-00045,
MFG-WO-25-26-00043,
MFG-WO-25-26-00044,
MFG-WO-25-26-00042,
MFG-WO-25-26-00048,
MFG-WO-25-26-00049,
MFG-WO-25-26-00050,
MFG-WO-25-26-00047,
MFG-WO-25-26-00046,
MFG-WO-25-26-00041,
MFG-WO-25-26-00055,
MFG-WO-25-26-00051,
MFG-WO-25-26-00054,
MFG-WO-2025-12581,
MFG-WO-2025-12593,
MFG-WO-25-26-00058,
MFG-WO-25-26-00059,
MFG-WO-25-26-00052,
MFG-WO-25-26-00057,
MFG-WO-25-26-00060-1,
MFG-WO-25-26-00056,
MFG-WO-25-26-00062,
MFG-WO-25-26-00063,
MFG-WO-25-26-00064,
MFG-WO-2025-12757,
MFG-WO-25-26-00066,
MFG-WO-2025-12877,
MFG-WO-25-26-00065,
MFG-WO-25-26-00068,
MFG-WO-25-26-00071,
MFG-WO-25-26-00067,
MFG-WO-25-26-00073,
MFG-WO-25-26-00075,
MFG-WO-25-26-00077,
MFG-WO-25-26-00078,
MFG-WO-25-26-00080,
MFG-WO-25-26-00072,
MFG-WO-25-26-00081,
MFG-WO-25-26-00079,
MFG-WO-25-26-00074,
MFG-WO-25-26-00083-1,
MFG-WO-25-26-00084-1,
MFG-WO-25-26-00085,
MFG-WO-25-26-00086,
MFG-WO-25-26-00088,
MFG-WO-25-26-00087,
MFG-WO-25-26-00089,
MFG-WO-25-26-00096-1,
MFG-WO-25-26-00097,
MFG-WO-25-26-00094-1,
MFG-WO-2025-09843,
MFG-WO-25-26-00095,
MFG-WO-25-26-00104,
MFG-WO-25-26-00103,
MFG-WO-25-26-00111,
MFG-WO-25-26-00110,
MFG-WO-25-26-00112,
MFG-WO-25-26-00109,
MFG-WO-25-26-00107,
MFG-WO-25-26-00115,
MFG-WO-25-26-00113,
MFG-WO-25-26-00116,
MFG-WO-25-26-00117,
MFG-WO-25-26-00114,
MFG-WO-25-26-00124,
MFG-WO-25-26-00123,
MFG-WO-25-26-00125,
MFG-WO-25-26-00120,
MFG-WO-25-26-00119,
MFG-WO-25-26-00122,
MFG-WO-25-26-00128,
MFG-WO-25-26-00129,
MFG-WO-25-26-00130,
MFG-WO-25-26-00126-1,
MFG-WO-25-26-00133,
MFG-WO-25-26-00136,
MFG-WO-25-26-00137,
MFG-WO-25-26-00134,
MFG-WO-25-26-00135,
MFG-WO-2025-13830,
MFG-WO-25-26-00121,
MFG-WO-25-26-00127,
MFG-WO-2025-13961,
MFG-WO-25-26-00138,
MFG-WO-25-26-00143,
MFG-WO-25-26-00139,
MFG-WO-25-26-00141,
MFG-WO-25-26-00146,
MFG-WO-25-26-00149,
MFG-WO-25-26-00144,
MFG-WO-25-26-00148,
MFG-WO-25-26-00147,
MFG-WO-25-26-00140,
MFG-WO-25-26-00152,
MFG-WO-25-26-00142,
MFG-WO-25-26-00153,
MFG-WO-25-26-00150,
MFG-WO-25-26-00151,
MFG-WO-2025-14245,
MFG-WO-2025-14247,
MFG-WO-2025-14275,
MFG-WO-2025-14273,
MFG-WO-25-26-00158-1,
MFG-WO-25-26-00156,
MFG-WO-25-26-00157,
MFG-WO-25-26-00159,
MFG-WO-25-26-00154,
MFG-WO-25-26-00160,
MFG-WO-25-26-00161,
MFG-WO-25-26-00176,
MFG-WO-25-26-00179,
MFG-WO-25-26-00180,
MFG-WO-25-26-00178,
MFG-WO-2025-14465,
MFG-WO-2025-14468,
MFG-WO-25-26-00186,
MFG-WO-25-26-00185,
MFG-WO-25-26-00187,
